Date,Open,High,Low,Close,Volume,Time
2023-10-16,914.1,914.95,913.2,913.6,12332,12:45:00
2023-10-16,913.65,914.2,913.25,914.0,7925,12:50:00
2023-10-16,914.0,914.5,913.8,914.5,10641,12:55:00
2023-10-16,914.5,914.95,913.2,913.8,11439,13:00:00
2023-10-16,913.8,913.9,912.05,912.9,13722,13:05:00
2023-10-16,912.9,912.9,912.2,912.4,9013,13:10:00
2023-10-16,912.4,912.8,910.55,911.05,12242,13:15:00
2023-10-16,910.65,911.85,910.25,911.4,12393,13:20:00
2023-10-16,911.3,913.55,911.15,912.65,33167,13:25:00
2023-10-16,912.9,913.3,912.0,912.9,6765,13:30:00
2023-10-16,912.9,913.25,912.0,912.3,6332,13:35:00
2023-10-16,912.25,912.65,911.15,911.8,7180,13:40:00
2023-10-16,911.8,912.2,910.85,911.65,12719,13:45:00
2023-10-16,911.75,911.95,911.0,911.5,6927,13:50:00
2023-10-16,911.5,912.0,910.9,911.85,6085,13:55:00
2023-10-16,911.85,912.05,911.05,911.85,7415,14:00:00
2023-10-16,911.75,912.4,910.6,910.95,7228,14:05:00
2023-10-16,910.95,911.25,910.5,910.8,6706,14:10:00
2023-10-16,911.05,911.4,910.1,911.35,13050,14:15:00
2023-10-16,911.35,912.9,910.7,912.4,18133,14:20:00
2023-10-16,912.4,912.4,910.75,911.45,9897,14:25:00
2023-10-16,911.8,911.8,910.5,911.15,8122,14:30:00
2023-10-16,911.15,912.45,910.85,912.05,8188,14:35:00
2023-10-16,912.05,912.05,911.15,912.0,9867,14:40:00
2023-10-16,912.0,912.0,910.3,910.8,13714,14:45:00
2023-10-16,910.15,910.9,909.45,909.45,19963,14:50:00
2023-10-16,909.5,910.0,908.5,908.95,12078,14:55:00
2023-10-16,908.95,910.5,908.75,908.85,29906,15:00:00
2023-10-16,908.9,910.0,908.6,908.6,13629,15:05:00
2023-10-16,909.7,909.8,908.0,908.0,19530,15:10:00
2023-10-16,908.25,908.95,908.0,908.3,31397,15:15:00
2023-10-16,908.3,908.95,907.4,908.05,35326,15:20:00
2023-10-16,908.05,909.5,906.45,909.0,20087,15:25:00
2023-10-16,908.6,908.6,908.6,908.6,0,15:30:00
2023-10-17,912.45,914.45,910.45,913.0,70984,09:15:00
2023-10-17,913.0,916.55,912.9,916.15,75876,09:20:00
2023-10-17,915.65,924.0,915.55,924.0,186595,09:25:00
2023-10-17,923.35,924.5,921.15,921.5,113189,09:30:00
2023-10-17,921.75,922.75,921.15,922.45,54706,09:35:00
2023-10-17,922.45,926.3,922.45,926.0,129879,09:40:00
2023-10-17,926.0,928.0,925.1,926.3,275191,09:45:00
2023-10-17,926.0,926.4,918.85,921.05,241346,09:50:00
2023-10-17,921.05,923.0,920.25,922.95,51900,09:55:00
2023-10-17,922.95,923.7,922.05,922.9,47945,10:00:00
2023-10-17,922.85,923.5,921.55,921.55,34747,10:05:00
2023-10-17,921.55,924.0,920.65,923.7,36385,10:10:00
2023-10-17,923.8,925.0,923.7,924.25,38488,10:15:00
2023-10-17,924.25,924.85,923.15,924.8,34933,10:20:00
2023-10-17,924.8,924.8,923.1,924.5,28356,10:25:00
2023-10-17,924.45,925.0,923.15,923.7,43646,10:30:00
2023-10-17,923.7,924.95,922.35,924.25,25250,10:35:00
2023-10-17,924.25,925.0,923.8,924.35,20917,10:40:00
2023-10-17,924.3,924.85,923.65,924.35,18633,10:45:00
2023-10-17,924.3,924.6,923.25,924.6,28015,10:50:00
2023-10-17,924.6,924.7,923.55,923.8,18019,10:55:00
2023-10-17,923.8,924.2,923.4,924.0,16141,11:00:00
2023-10-17,924.0,924.35,922.05,922.05,25760,11:05:00
2023-10-17,922.5,923.85,922.2,923.7,20627,11:10:00
2023-10-17,923.7,924.3,923.3,924.0,24596,11:15:00
2023-10-17,923.95,924.15,922.8,924.15,13509,11:20:00
2023-10-17,924.0,924.5,922.45,922.95,24668,11:25:00
2023-10-17,922.95,923.65,922.8,923.0,19823,11:30:00
2023-10-17,923.0,923.7,922.65,923.55,13196,11:35:00
2023-10-17,923.55,923.9,923.1,923.85,25225,11:40:00
2023-10-17,923.85,923.95,923.2,923.35,15774,11:45:00
2023-10-17,923.65,923.9,923.0,923.65,32276,11:50:00
2023-10-17,923.65,924.95,923.4,924.9,27441,11:55:00
2023-10-17,925.0,925.0,924.2,924.35,43203,12:00:00
2023-10-17,924.35,925.0,924.0,924.8,16176,12:05:00
2023-10-17,924.95,925.0,924.25,924.8,16453,12:10:00
2023-10-17,924.95,925.0,924.4,924.6,23139,12:15:00
2023-10-17,924.6,924.7,922.45,922.8,24858,12:20:00
2023-10-17,922.8,923.05,921.1,921.3,24424,12:25:00
2023-10-17,921.35,921.35,919.05,921.0,47232,12:30:00
2023-10-17,921.0,923.5,921.0,923.45,19830,12:35:00
2023-10-17,923.45,924.0,922.6,923.7,16300,12:40:00
2023-10-17,924.0,924.35,922.7,923.95,23194,12:45:00
2023-10-17,923.95,924.2,922.65,924.0,15330,12:50:00
2023-10-17,923.6,924.65,923.3,923.6,13467,12:55:00
2023-10-17,923.95,924.25,922.9,923.8,14668,13:00:00
2023-10-17,923.8,924.5,923.15,924.3,14747,13:05:00
2023-10-17,924.5,924.65,923.85,924.2,13743,13:10:00
2023-10-17,924.2,924.45,923.7,923.75,10967,13:15:00
2023-10-17,923.75,924.0,923.5,923.5,8561,13:20:00
2023-10-17,923.55,924.5,922.8,922.8,23481,13:25:00
2023-10-17,923.0,923.05,921.4,921.7,11351,13:30:00
2023-10-17,921.7,921.7,919.1,919.3,22585,13:35:00
2023-10-17,919.2,920.35,918.65,920.15,23709,13:40:00
2023-10-17,920.05,920.45,919.8,920.0,36692,13:45:00
2023-10-17,920.0,920.15,918.1,918.9,86059,13:50:00
2023-10-17,918.9,920.0,918.05,918.2,54011,13:55:00
2023-10-17,918.25,918.25,915.6,915.85,35929,14:00:00
2023-10-17,915.8,917.05,915.2,915.2,16652,14:05:00
2023-10-17,915.2,915.65,913.55,913.7,32590,14:10:00
2023-10-17,913.7,914.65,913.5,913.7,19496,14:15:00
2023-10-17,914.0,915.1,913.15,913.15,26465,14:20:00
2023-10-17,913.5,913.5,911.7,912.5,19955,14:25:00
2023-10-17,912.5,912.85,912.0,912.25,10839,14:30:00
2023-10-17,912.0,912.85,911.55,912.05,15663,14:35:00
2023-10-17,912.1,912.25,910.2,910.8,35188,14:40:00
2023-10-17,910.6,911.5,910.0,910.4,51183,14:45:00
2023-10-17,910.4,911.15,910.0,910.05,27472,14:50:00
2023-10-17,910.05,910.25,908.55,909.35,46414,14:55:00
2023-10-17,909.25,910.0,907.35,908.8,91881,15:00:00
2023-10-17,908.8,909.15,907.45,908.45,80764,15:05:00
2023-10-17,908.55,908.85,907.9,907.9,57738,15:10:00
2023-10-17,908.0,908.0,906.55,908.0,88257,15:15:00
2023-10-17,907.85,908.5,906.05,906.05,85831,15:20:00
2023-10-17,906.1,907.5,905.15,907.0,47574,15:25:00
2023-10-17,907.85,907.85,907.85,907.85,0,15:30:00
2023-10-18,914.1,914.1,899.0,902.15,80868,09:15:00
2023-10-18,902.2,902.7,899.05,900.7,39439,09:20:00
2023-10-18,900.7,901.75,900.2,901.4,22707,09:25:00
2023-10-18,901.2,901.35,899.55,899.65,25419,09:30:00
2023-10-18,899.85,900.0,897.5,899.2,36209,09:35:00
2023-10-18,899.7,901.7,899.05,901.5,18918,09:40:00
2023-10-18,901.5,902.8,900.05,900.75,32684,09:45:00
2023-10-18,900.55,904.0,900.5,903.15,23047,09:50:00
2023-10-18,903.15,903.9,902.6,903.65,13148,09:55:00
2023-10-18,903.8,905.25,903.6,904.95,17808,10:00:00
2023-10-18,904.95,906.8,904.55,906.4,24634,10:05:00
2023-10-18,906.0,906.45,904.2,905.0,8674,10:10:00
2023-10-18,905.0,905.0,903.7,903.7,13993,10:15:00
2023-10-18,903.75,905.25,903.6,904.8,8830,10:20:00
2023-10-18,904.8,905.5,904.6,905.1,5166,10:25:00
2023-10-18,905.3,905.5,904.1,905.5,8096,10:30:00
2023-10-18,905.5,905.5,904.6,904.6,5532,10:35:00
2023-10-18,904.5,905.4,904.5,904.75,10132,10:40:00
2023-10-18,904.6,905.2,903.6,905.0,7801,10:45:00
2023-10-18,904.9,905.5,904.25,905.0,9262,10:50:00
2023-10-18,904.95,905.5,904.15,905.2,8416,10:55:00
2023-10-18,905.3,905.35,904.55,905.0,9232,11:00:00
2023-10-18,904.95,905.05,903.45,903.45,17958,11:05:00
2023-10-18,903.55,903.8,902.2,903.2,18571,11:10:00
2023-10-18,903.15,903.7,902.25,902.85,21294,11:15:00
2023-10-18,902.9,903.5,902.15,903.45,8546,11:20:00
2023-10-18,903.45,904.0,903.2,903.35,5156,11:25:00
2023-10-18,903.3,903.9,903.0,903.35,4772,11:30:00
2023-10-18,903.2,903.2,901.85,902.1,13159,11:35:00
2023-10-18,902.1,902.1,901.65,901.85,4078,11:40:00
2023-10-18,901.8,901.9,901.1,901.1,4982,11:45:00
2023-10-18,901.05,901.35,901.0,901.1,4993,11:50:00
2023-10-18,901.1,901.3,899.1,899.45,13084,11:55:00
2023-10-18,899.4,900.1,899.1,899.85,8348,12:00:00
2023-10-18,899.8,900.4,899.5,899.95,6008,12:05:00
2023-10-18,900.0,900.0,899.65,900.0,2779,12:10:00
2023-10-18,899.95,900.65,899.7,900.0,16239,12:15:00
2023-10-18,900.1,900.35,898.65,899.25,12608,12:20:00
2023-10-18,899.2,900.45,899.15,900.0,47990,12:25:00
2023-10-18,900.1,900.1,895.0,895.65,57504,12:30:00
2023-10-18,895.65,897.5,895.0,897.0,19517,12:35:00
2023-10-18,897.0,899.0,897.0,898.25,10273,12:40:00
2023-10-18,898.55,899.15,898.25,898.4,10516,12:45:00
2023-10-18,898.35,898.45,897.85,897.85,6134,12:50:00
2023-10-18,897.85,897.95,896.4,897.45,9118,12:55:00
2023-10-18,897.4,897.55,896.35,896.65,12967,13:00:00
2023-10-18,896.65,897.35,894.6,895.35,24221,13:05:00
2023-10-18,895.45,896.75,895.35,896.5,11210,13:10:00
2023-10-18,896.5,896.6,895.65,896.05,9438,13:15:00
2023-10-18,896.05,896.25,895.0,895.5,7399,13:20:00
2023-10-18,895.6,896.4,895.55,895.95,6869,13:25:00
2023-10-18,895.95,896.25,895.2,895.35,7473,13:30:00
2023-10-18,895.35,895.8,894.95,895.5,10231,13:35:00
